,mean,std
bbh_acc,0.48603388405314196,0.11442689742346386
math_acc,0.1596971511966769,0.1448837833093274
musr_acc,0.4068450719204488,0.044765373928272977
mmlu_pro_acc,0.33192525125628136,0.12714771360235969
gpqa_acc,0.30033809989545046,0.038362317426955866
bbh_sub_boolean_expressions,0.7716582914572864,0.1237631110835777
bbh_sub_causal_judgement,0.5824254964662886,0.053651721225145325
bbh_sub_date_understanding,0.47535276381909547,0.16115942835585953
bbh_sub_logical_deduction_five_objects,0.4122130653266332,0.14482883406702562
bbh_sub_logical_deduction_seven_objects,0.38148341708542716,0.15438216735740473
bbh_sub_logical_deduction_three_objects,0.6052060301507538,0.1958346753880044
bbh_sub_navigate,0.5887236180904523,0.09572810567577586
bbh_sub_object_counting,0.3515899497487437,0.1366410235448704
bbh_sub_penguins_in_a_table,0.46243546499621396,0.1544369318142702
bbh_sub_web_of_lies,0.5134834170854271,0.04071951559243312
score_variance,0.019383688882456212,0.006971535362088801
