model_id,bbh_acc,math_acc,musr_acc,mmlu_pro_acc,bbh_sub_boolean_expressions,bbh_sub_causal_judgement,bbh_sub_date_understanding,bbh_sub_logical_deduction_five_objects,bbh_sub_logical_deduction_seven_objects,bbh_sub_logical_deduction_three_objects,bbh_sub_navigate,bbh_sub_object_counting,bbh_sub_penguins_in_a_table,bbh_sub_web_of_lies,score_variance,label
JayHyeon/Qwen_0.5-IRPO_5e-7-3ep_1alp_0lam,0.3226870335011282,0.052870090634441,0.3174603174603174,0.1563331117021276,0.708,0.481283422459893,0.228,0.208,0.156,0.368,0.58,0.172,0.2602739726027397,0.524,0.0136559849685496,0
cognitivecomputations/dolphin-2.9.1-yi-1.5-34b,0.6047561187293873,0.1865558912386707,0.458994708994709,0.4518783244680851,0.88,0.6363636363636364,0.604,0.52,0.48,0.756,0.696,0.424,0.6095890410958904,0.496,0.0241199776889467,0
Sakalti/ultiima-72B-v1.5,0.7373719840305503,0.4395770392749245,0.4682539682539682,0.6053856382978723,0.928,0.6898395721925134,0.812,0.7,0.664,0.944,0.832,0.548,0.7465753424657534,0.68,0.0185464889552853,1
jaspionjader/gamma-Kosmos-EVAA-v2-8B,0.5247352890123242,0.1057401812688821,0.4338624338624338,0.3755817819148936,0.82,0.6096256684491979,0.476,0.448,0.448,0.644,0.496,0.496,0.4726027397260274,0.508,0.0246832650412082,0
OEvortex/HelpingAI-15B,0.290574553028988,0.0,0.3611111111111111,0.1111203457446808,0.464,0.5187165775401069,0.184,0.216,0.156,0.356,0.42,0.056,0.1780821917808219,0.484,0.0213223244211544,1
ymcki/gemma-2-2b-jpn-it-abliterated-17-ORPO-alpaca,0.4056587398021177,0.0324773413897281,0.3955026455026455,0.2249002659574468,0.676,0.5882352941176471,0.508,0.292,0.192,0.496,0.568,0.256,0.363013698630137,0.496,0.0231268599943795,1
vonjack/Qwen2.5-Coder-0.5B-Merged,0.3041138691199445,0.0377643504531722,0.3293650793650793,0.1201795212765957,0.472,0.5187165775401069,0.216,0.188,0.152,0.32,0.42,0.236,0.2397260273972602,0.488,0.0156781360687296,1
01-ai/Yi-1.5-34B,0.5953827460510328,0.1533232628398791,0.4232804232804232,0.4665890957446808,0.892,0.6203208556149733,0.628,0.428,0.396,0.624,0.704,0.352,0.5547945205479452,0.476,0.0262919262164641,0
godlikehhd/alpaca_data_sampled_ifd_new_5200,0.4141642076028467,0.0944108761329305,0.3611111111111111,0.292470079787234,0.832,0.5401069518716578,0.452,0.288,0.232,0.4,0.604,0.364,0.4794520547945205,0.524,0.0146852997746092,0
sabersaleh/Llama2-7B-DPO,0.3480298559277903,0.0158610271903323,0.41005291005291,0.1625664893617021,0.552,0.5294117647058824,0.38,0.264,0.2,0.372,0.42,0.304,0.3287671232876712,0.484,0.0244068753694991,1
CohereForAI/aya-23-35B,0.5360180524214546,0.0347432024169184,0.4298941798941799,0.3356050531914893,0.712,0.6417112299465241,0.54,0.524,0.528,0.716,0.636,0.388,0.5684931506849316,0.484,0.0352047085744123,0
Jimmy19991222/llama-3-8b-instruct-gapo-v2-rouge2-beta10-gamma0.3-lr1.0e-6-scale-log,0.4907134178094081,0.0657099697885196,0.3994708994708995,0.3664394946808511,0.772,0.6042780748663101,0.508,0.396,0.42,0.548,0.652,0.348,0.4589041095890411,0.46,0.0256023137005483,0
jaspionjader/TSN-Kosmos-EVAA-8B,0.5328935948620032,0.1450151057401812,0.4166666666666667,0.383061835106383,0.788,0.6417112299465241,0.472,0.408,0.396,0.596,0.648,0.428,0.4794520547945205,0.576,0.0203538948457351,0
dnhkng/RYS-XLarge-base,0.7040444367297344,0.3791540785498489,0.4894179894179894,0.5430518617021277,0.92,0.6524064171122995,0.704,0.676,0.584,0.94,0.732,0.5,0.6438356164383562,0.72,0.0181979925215245,1
Xclbr7/Arcanum-12b,0.5240409651102239,0.1193353474320241,0.4166666666666667,0.3586269946808511,0.848,0.5989304812834224,0.66,0.424,0.456,0.724,0.636,0.384,0.5342465753424658,0.488,0.0222159382114306,0
DreadPoor/VENN_1.2-8B-Model_Stock,0.5446971011977088,0.1706948640483383,0.4193121693121693,0.3720910904255319,0.836,0.5989304812834224,0.452,0.444,0.444,0.672,0.644,0.428,0.541095890410959,0.5,0.0193955671602009,1
Xiaojian9992024/Qwen2.5-THREADRIPPER-Small-AnniversaryEdition,0.5438291963200833,0.5075528700906344,0.3796296296296296,0.4393284574468085,0.816,0.5240641711229946,0.564,0.544,0.484,0.768,0.672,0.376,0.6027397260273972,0.552,0.0119167417199555,1
HuggingFaceTB/SmolLM-360M,0.3027252213157438,0.0113293051359516,0.4007936507936508,0.1123670212765957,0.524,0.5187165775401069,0.152,0.22,0.152,0.344,0.452,0.0,0.2191780821917808,0.488,0.024230051155136,1
rombodawg/Rombos-LLM-V2.5-Qwen-1.5b,0.4218017705259503,0.0853474320241691,0.4179894179894179,0.2922207446808511,0.82,0.5561497326203209,0.428,0.26,0.228,0.4,0.576,0.412,0.4589041095890411,0.54,0.0187541274255851,0
EpistemeAI/ReasoningCore-3B-R01,0.4356882485679569,0.1299093655589124,0.3187830687830688,0.2591422872340425,0.784,0.5882352941176471,0.496,0.412,0.272,0.488,0.624,0.34,0.3150684931506849,0.488,0.0122664639916821,1
win10/Norns-Qwen2.5-12B,0.4577330324596424,0.0838368580060422,0.3544973544973545,0.2660405585106383,0.76,0.5508021390374331,0.444,0.42,0.344,0.472,0.476,0.28,0.5342465753424658,0.488,0.0188523319519673,0
LeroyDyer/_Spydaz_Web_AI_AGI_R1_Top_Student,0.4966151709772609,0.0725075528700906,0.5383597883597884,0.3024434840425531,0.824,0.6096256684491979,0.404,0.5,0.408,0.612,0.608,0.364,0.4726027397260274,0.492,0.0353281983281522,1
LilRg/10PRYMMAL-3B-slerp,0.5299427182780767,0.1495468277945619,0.4523809523809524,0.3881316489361702,0.88,0.6256684491978609,0.652,0.508,0.508,0.788,0.612,0.396,0.4657534246575342,0.48,0.0209130980907786,0
prithivMLmods/QwQ-LCoT-14B-Conversational,0.6215934733553202,0.4652567975830816,0.4841269841269841,0.527842420212766,0.888,0.6203208556149733,0.676,0.608,0.6,0.9,0.688,0.476,0.684931506849315,0.516,0.0097605634790329,1
zelk12/recoilme-gemma-2-Ataraxy-9B-v0.1-t0.75,0.5983336226349593,0.2016616314199395,0.3941798941798942,0.4140625,0.828,0.6256684491978609,0.576,0.572,0.568,0.84,0.708,0.252,0.5821917808219178,0.5,0.0202677853135297,0
OpenBuddy/openbuddy-zero-14b-v22.3-32k,0.4846380836660302,0.093655589123867,0.4153439153439153,0.3187333776595745,0.796,0.5401069518716578,0.48,0.416,0.436,0.588,0.464,0.38,0.5136986301369864,0.488,0.0218804817153051,0
allknowingroger/Strangecoven-7B-slerp,0.5349765665683042,0.0762839879154078,0.4193121693121693,0.3364361702127659,0.828,0.6096256684491979,0.46,0.512,0.444,0.708,0.6,0.364,0.4520547945205479,0.512,0.0290107419657287,1
v000000/Qwen2.5-Lumen-14B,0.6372157611525777,0.5362537764350453,0.41005291005291,0.4902759308510638,0.9,0.6363636363636364,0.62,0.64,0.616,0.924,0.764,0.464,0.6575342465753424,0.54,0.0139941728168065,1
mlabonne/phixtral-2x2_8,0.4877625412254817,0.0354984894259818,0.3637566137566138,0.2550698138297872,0.832,0.5668449197860963,0.436,0.492,0.44,0.796,0.584,0.468,0.4246575342465753,0.544,0.0276986507248899,1
T145/KRONOS-8B-V1-P2,0.4749175490366256,0.1601208459214501,0.3558201058201058,0.3453291223404255,0.816,0.6042780748663101,0.484,0.324,0.284,0.584,0.604,0.392,0.4589041095890411,0.496,0.0130285353244639,0
ymcki/gemma-2-2b-jpn-it-abliterated-17-18-24,0.3782329456691546,0.0256797583081571,0.3492063492063492,0.2282247340425532,0.712,0.5614973262032086,0.412,0.22,0.212,0.392,0.452,0.324,0.3561643835616438,0.532,0.0195030366042147,0
Saxo/Linkbricks-Horizon-AI-Avengers-V6-32B,0.6851241103975004,0.622356495468278,0.4259259259259259,0.5672373670212766,0.916,0.6737967914438503,0.716,0.688,0.652,0.952,0.748,0.364,0.8013698630136986,0.72,0.020724560199368,1
ehristoforu/fd-lora-merged-64x128,0.3317132442284325,0.1873111782477341,0.335978835978836,0.1536735372340425,0.708,0.5187165775401069,0.248,0.256,0.184,0.38,0.42,0.276,0.2260273972602739,0.488,0.0068164580656039,1
lightblue/suzume-llama-3-8B-multilingual-orpo-borda-top75,0.4806457212289533,0.0785498489425981,0.3809523809523809,0.3769115691489361,0.796,0.6310160427807486,0.492,0.388,0.412,0.572,0.472,0.336,0.5,0.488,0.0233200237890064,0
jaspionjader/fr-1-8b,0.5129317826766187,0.1117824773413897,0.4272486772486772,0.3610372340425531,0.792,0.6310160427807486,0.488,0.464,0.46,0.628,0.604,0.488,0.4863013698630137,0.536,0.0227938367767571,0
netcat420/MFANNv0.20,0.4554764797778163,0.0498489425981873,0.3862433862433862,0.3202293882978723,0.764,0.5828877005347594,0.436,0.42,0.396,0.576,0.512,0.436,0.4726027397260274,0.532,0.0236723714587802,0
theprint/ReWiz-Llama-3.2-3B,0.4336052768616559,0.1095166163141994,0.3611111111111111,0.2887300531914893,0.768,0.5721925133689839,0.564,0.38,0.308,0.524,0.484,0.476,0.3219178082191781,0.488,0.0145389946682664,0
oobabooga/CodeBooga-34B-v0.1,0.3412601978823121,0.039274924471299,0.4298941798941799,0.2359541223404255,0.796,0.5240641711229946,0.244,0.212,0.136,0.328,0.42,0.332,0.1712328767123287,0.488,0.0211934786375103,0
LeroyDyer/SpydazWebAI_Human_AGI,0.3337962159347336,0.0143504531722054,0.3955026455026455,0.1478557180851064,0.692,0.5454545454545454,0.332,0.192,0.132,0.344,0.42,0.296,0.3150684931506849,0.488,0.0235197595593107,1
